year,state,area,population,value,unit,note
2011,All India,3287469,Males,623270258,"Area_in_Square_Kilometers, Population Value in Absolute Number","Area figures includes the area under unlawaful occupation of Pakistan and China. The area includes 78,114 sq.km. under illegal occupation of Pakistan, 5,180 sq. km.illegally handed over by Pakistan to China and 37,555 sq.km. under illegal occupation of China."
2011,Andhra Pradesh,275045,Males,42442146,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Males,713912,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Males,15939443,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Males,54278157,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Males,12832895,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Males,739140,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Males,31491260,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Males,13494734,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Males,3481873,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Males,6640662,"Area_in_Square_Kilometers, Population Value in Absolute Number","Area figures includes the area under unlawaful occupation of Pakistan and China. The area includes 78,114 sq.km. under illegal occupation of Pakistan, 5,180 sq. km.illegally handed over by Pakistan to China and 37,555 sq.km. under illegal occupation of China."
2011,Jharkhand,79716,Males,16930315,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Males,30966657,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Males,16027412,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Males,37612306,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Males,58243056,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Males,1438586,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Males,1491832,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Males,555339,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Males,1024649,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Males,21212136,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Males,14639465,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Males,35550997,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Males,323070,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Males,36137975,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Males,1874376,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Males,104480510,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Males,5137773,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Males,46809027,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Males,202871,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Males,580663,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Males,193760,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Males,150301,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Males,8987326,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Males,33123,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Males,612511,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,All India,3287469,Females,587584719,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andhra Pradesh,275045,Females,42138631,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Females,669815,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Females,15266133,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Females,49821295,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Females,12712303,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Females,719405,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Females,28948432,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Females,11856728,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Females,3382729,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Females,5900640,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Females,16057819,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Females,30128640,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Females,17378649,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Females,35014503,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Females,54131277,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Females,1417208,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Females,1475057,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Females,541867,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Females,953853,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Females,20762082,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Females,13103873,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Females,32997440,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Females,287507,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Females,36009055,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Females,1799541,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Females,95331831,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Females,4948519,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Females,44467088,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Females,177710,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Females,474787,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Females,149949,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Females,92946,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Females,7800615,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Females,31350,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Females,635442,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,All India,3287469,Persons,1210854977,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andhra Pradesh,275045,Persons,84580777,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Persons,1383727,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Persons,31205576,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Persons,104099452,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Persons,25545198,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Persons,1458545,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Persons,60439692,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Persons,25351462,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Persons,6864602,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Persons,12541302,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Persons,32988134,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Persons,61095297,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Persons,33406061,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Persons,72626809,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Persons,112374333,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Persons,2855794,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Persons,2966889,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Persons,1097206,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Persons,1978502,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Persons,41974218,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Persons,27743338,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Persons,68548437,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Persons,610577,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Persons,72147030,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Persons,3673917,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Persons,199812341,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Persons,10086292,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Persons,91276115,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Persons,380581,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Persons,1055450,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Persons,343709,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Persons,243247,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Persons,16787941,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Persons,64473,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Persons,1247953,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,All India,3287469,Rural,833748852,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andhra Pradesh,275045,Rural,56361702,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Rural,1066358,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Rural,26807034,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Rural,92341436,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Rural,19607961,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Rural,551731,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Rural,34694609,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Rural,16509359,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Rural,6176050,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Rural,9108060,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Rural,25055073,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Rural,37469335,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Rural,17471135,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Rural,52557404,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Rural,61556074,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Rural,2021640,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Rural,2371439,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Rural,525435,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Rural,1407536,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Rural,34970562,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Rural,17344192,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Rural,51500352,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Rural,456999,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Rural,37229590,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Rural,2712464,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Rural,155317278,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Rural,7036954,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Rural,62183113,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Rural,237093,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Rural,28991,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Rural,183114,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Rural,60396,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Rural,419042,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Rural,14141,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Rural,395200,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,All India,3287469,Urban,377106125,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andhra Pradesh,275045,Urban,28219075,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Arunachal Pradesh,83743,Urban,317369,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Assam,78438,Urban,4398542,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Bihar,94163,Urban,11758016,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chhattisgarh,135192,Urban,5937237,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Goa,3702,Urban,906814,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Urban,25745083,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Urban,8842103,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Urban,688552,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Urban,3433242,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Urban,7933061,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Urban,23625962,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Urban,15934926,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Urban,20069405,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Urban,50818259,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Urban,834154,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Urban,595450,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Urban,571771,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Urban,570966,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Urban,7003656,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Urban,10399146,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Urban,17048085,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Urban,153578,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Urban,34917440,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Urban,961453,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Urban,44495063,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Urban,3049338,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Urban,29093002,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Urban,143488,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Urban,1026459,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Urban,160595,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Urban,182851,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Urban,16368899,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Urban,50332,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Urban,852753,"Area_in_Square_Kilometers, Population Value in Absolute Number",
